ROWID,N_RETURNEES,DEST,check_ESC_OBS_MED_by_dest,N_ESC,N_ESC_LEAD
2018_83,23,Pakistan,TRUE,68,1
2018_84,2,Pakistan,TRUE,6,1
2018_85,1,Pakistan,TRUE,3,1
2018_88,25,Albania,TRUE,31,NA
2018_89,6,Albania,NA,NA,NA
2018_92,3,Gambia,TRUE,11,1
2018_93,29,Tunisia,TRUE,65,NA
2018_94,37,Tunisia,TRUE,93,NA
2018_95,20,Albania,TRUE,27,2
2018_96,6,Albania,NA,NA,NA
2018_99,135,Serbia,TRUE,2,34
2018_101,5,Ukraine,TRUE,16,1
2018_102,5,Ukraine,TRUE,9,1
2018_104,136,Albania,TRUE,38,1
2018_106,19,Tunisia,TRUE,71,NA
2018_107,17,Georgia,TRUE,49,1
2018_108,7,Georgia,TRUE,14,1
2018_110,32,Tunisia,TRUE,82,NA
2018_111,62,Georgia,TRUE,42,2
2018_112,3,Georgia,NA,NA,NA
2018_115,14,Afghanistan,TRUE,42,1
2018_117,3,Egypt,TRUE,17,1
2018_118,1,Egypt,TRUE,2,1
2018_120,59,Serbia,TRUE,24,1
2018_121,1,Serbia,NA,NA,NA
2018_123,10,Pakistan,TRUE,33,1
2018_124,1,Pakistan,TRUE,2,1
2018_125,1,Pakistan,TRUE,2,1
2018_126,1,Pakistan,TRUE,3,1
2018_127,1,Pakistan,TRUE,2,1
2018_128,1,Pakistan,TRUE,2,1
2018_129,2,Pakistan,TRUE,5,1
2018_130,3,Pakistan,TRUE,6,1
2018_132,40,Tunisia,TRUE,90,NA
2018_133,5,Kosovo,TRUE,16,1
2018_134,12,Kosovo,TRUE,26,1
2018_135,12,Kosovo,TRUE,28,1
2018_136,3,Senegal,TRUE,9,1
2018_138,34,Tunisia,TRUE,76,NA
2018_139,3,Afghanistan,TRUE,10,1
2018_140,22,Albania,TRUE,27,1
2018_141,5,Albania,NA,NA,NA
2018_144,25,Tunisia,TRUE,72,1
2018_146,15,Nigeria,TRUE,39,1
2018_147,5,Nigeria,TRUE,24,1
2018_148,1,Nigeria,TRUE,5,1
2018_149,7,Nigeria,TRUE,20,1
2018_150,3,Nigeria,TRUE,8,1
2018_151,1,Nigeria,TRUE,1,1
2018_153,46,Albania,TRUE,28,1
2018_154,4,Albania,NA,NA,NA
2018_156,31,Tunisia,TRUE,73,NA
2018_157,33,Tunisia,TRUE,82,1
2018_158,7,Guinea,TRUE,20,1
2018_159,22,Albania,TRUE,28,1
2018_160,5,Albania,NA,NA,NA
2018_163,68,Colombia,TRUE,117,1
2018_164,6,Colombia,TRUE,18,1
2018_165,1,Colombia,TRUE,2,1
2018_167,9,Egypt,TRUE,33,1
2018_168,11,Albania,TRUE,15,1
2018_169,25,Albania,TRUE,15,NA
2018_170,31,Tunisia,TRUE,2,72
2018_171,130,Serbia,TRUE,34,1
2018_173,11,Sri Lanka,TRUE,34,1
2018_174,135,Albania,TRUE,38,1
2018_176,13,Georgia,TRUE,34,1
2018_177,2,Georgia,TRUE,6,NA
2018_178,1,Georgia,TRUE,2,1
2018_179,2,Georgia,TRUE,6,1
2018_181,29,Montenegro,NA,NA,NA
2018_184,31,Tunisia,TRUE,83,NA
2018_185,34,Tunisia,TRUE,77,NA
2018_186,3,Gambia,TRUE,11,1
2018_188,97,Albania,TRUE,42,1
2018_191,52,Georgia,TRUE,42,4
2018_194,25,Albania,TRUE,33,1
2018_195,6,Albania,NA,NA,NA
2018_196,7,Albania,NA,NA,NA
2018_199,8,Russia,TRUE,22,1
2018_200,4,Russia,TRUE,8,1
2018_202,19,Albania,TRUE,61,1
2018_203,10,Afghanistan,TRUE,40,1
2018_206,25,Albania,TRUE,28,1
2018_207,6,Albania,NA,NA,NA
2018_210,15,Kosovo,TRUE,36,1
2018_211,1,Kosovo,TRUE,2,1
2018_212,50,Pakistan,TRUE,56,1
2018_214,5,Russia,TRUE,15,1
2018_215,57,Serbia,TRUE,17,1
2018_217,50,Georgia,TRUE,32,1
2018_218,4,Georgia,NA,NA,NA
2018_221,23,Albania,TRUE,29,1
2018_222,6,Albania,NA,NA,NA
2018_225,55,Armenia,TRUE,54,1
2018_227,27,Tunisia,TRUE,66,1
2018_228,10,Afghanistan,TRUE,34,2
2018_229,17,Afghanistan,TRUE,39,1
2018_232,9,Gambia,TRUE,30,1
2018_233,1,Gambia,TRUE,3,1
2018_236,1,Egypt,TRUE,19,1
2018_237,31,Bangladesh,TRUE,40,1
2018_238,24,Albania,TRUE,29,1
2018_239,6,Albania,NA,NA,NA
2018_242,22,Tunisia,TRUE,66,1
2018_243,27,Serbia,TRUE,23,1
2018_245,40,Tunisia,TRUE,86,NA
2018_246,40,Tunisia,TRUE,91,NA
2018_247,13,Kosovo,TRUE,19,1
2018_248,38,Serbia,TRUE,35,1
2018_249,60,Kosovo,TRUE,31,1
2018_250,22,Albania,TRUE,29,1
2018_252,3,Afghanistan,TRUE,7,1
2018_253,17,Nigeria,TRUE,53,NA
2018_254,3,Nigeria,TRUE,8,1
2018_255,1,Nigeria,TRUE,2,1
2018_256,1,Nigeria,TRUE,3,1
2018_257,3,Nigeria,TRUE,7,1
2018_258,4,Nigeria,TRUE,10,2
2018_259,2,Nigeria,TRUE,4,1
2018_260,13,Nigeria,TRUE,36,1
2018_261,1,Nigeria,TRUE,3,1
2018_263,54,Albania,TRUE,28,1
2018_264,32,Tunisia,TRUE,76,NA
2018_265,36,Tunisia,TRUE,85,1
2018_266,21,Afghanistan,TRUE,42,1
2018_267,9,Albania,TRUE,23,1
2018_268,5,Albania,TRUE,7,1
2018_269,4,Albania,TRUE,10,1
2018_271,22,Albania,TRUE,30,1
2018_272,6,Albania,NA,NA,NA
2018_275,10,Albania,TRUE,15,NA
2018_276,38,Tunisia,TRUE,77,NA
2018_277,25,Tunisia,TRUE,67,NA
2018_278,16,Albania,TRUE,30,1
2018_279,5,Albania,NA,NA,NA
2018_282,132,Albania,TRUE,37,1
2018_284,27,Tunisia,TRUE,59,NA
2018_285,23,Tunisia,TRUE,83,NA
2018_287,6,Afghanistan,TRUE,28,1
2018_288,2,Afghanistan,TRUE,5,1
2018_289,11,Afghanistan,TRUE,32,1
2018_290,2,Afghanistan,TRUE,4,1
2018_292,6,Egypt,TRUE,30,1
2018_294,49,Pakistan,TRUE,106,1
2018_295,12,Pakistan,TRUE,26,1
2018_297,64,Georgia,TRUE,38,2
2018_298,3,Georgia,NA,NA,NA
2018_299,2,Georgia,NA,NA,NA
2018_300,4,Georgia,NA,NA,NA
2018_303,25,Albania,TRUE,54,1
2018_306,27,Tunisia,TRUE,68,1
2018_307,13,Georgia,TRUE,29,1
2018_308,40,Tunisia,TRUE,85,1
2018_309,106,Albania,TRUE,36,1
2018_311,52,Russia,TRUE,37,1
2018_313,24,Albania,TRUE,29,1
2018_314,4,Albania,NA,NA,NA
2018_317,77,Serbia,TRUE,34,1
2018_319,19,Tunisia,TRUE,69,1
2018_322,18,Nigeria,TRUE,50,1
2018_323,1,Nigeria,TRUE,3,1
2018_324,1,Nigeria,TRUE,1,1
2018_325,3,Nigeria,TRUE,9,1
2018_326,2,Nigeria,TRUE,6,1
2018_329,40,Tunisia,TRUE,6,NA
2018_330,30,Tunisia,TRUE,86,NA
2018_331,15,Afghanistan,TRUE,42,1
2018_333,21,Albania,TRUE,30,1
2018_334,6,Albania,NA,NA,NA
2018_337,10,Russia,TRUE,19,1
2018_338,38,Georgia,TRUE,42,3
2018_341,24,Tunisia,TRUE,83,NA
2018_342,30,Tunisia,TRUE,83,NA
2018_343,98,Albania,TRUE,56,1
2018_345,19,Tunisia,TRUE,61,1
2018_346,46,Macedonia,TRUE,61,1
2018_347,20,Albania,TRUE,30,1
2018_348,15,Albania,NA,NA,NA
2018_349,6,Albania,NA,NA,NA
2018_351,31,Nigeria,TRUE,103,1
2018_352,29,Tunisia,TRUE,73,NA
2018_353,43,Armenia,TRUE,36,1
2018_355,17,Albania,TRUE,31,1
2018_356,3,Albania,NA,NA,NA
2018_357,10,Albania,NA,NA,NA
2018_360,18,Nigeria,TRUE,48,1
2018_361,10,Nigeria,TRUE,20,1
2018_362,1,Nigeria,TRUE,2,1
2018_363,1,Nigeria,TRUE,2,1
2018_364,3,Nigeria,TRUE,10,1
2018_365,1,Nigeria,TRUE,1,1
2018_367,28,Georgia,TRUE,43,1
2018_368,1,Georgia,NA,NA,NA
2018_371,30,Tunisia,TRUE,85,NA
2018_372,18,Albania,TRUE,29,1
2018_373,4,Albania,NA,NA,NA
2018_376,51,Georgia,TRUE,38,1
2018_377,5,Georgia,NA,NA,NA
2018_380,63,Colombia,TRUE,90,1
2018_381,12,Congo DR,TRUE,23,1
2018_382,1,Congo DR,TRUE,7,1
2018_383,2,Congo DR,TRUE,6,1
2018_384,1,Congo DR,TRUE,9,1
2018_385,1,Congo DR,TRUE,3,1
2018_387,5,Ivory Coast,TRUE,12,1
2018_390,69,Serbia,TRUE,31,1
2018_392,78,Albania,TRUE,36,1
2018_395,22,Albania,TRUE,29,1
2018_396,5,Albania,NA,NA,NA
2018_399,96,Albania,TRUE,29,1
2018_404,15,Pakistan,TRUE,59,1
2018_405,1,Pakistan,TRUE,2,1
2018_407,8,Afghanistan,TRUE,31,2
2018_408,20,Afghanistan,TRUE,47,1
2018_410,25,Albania,TRUE,29,1
2018_411,2,Albania,NA,NA,NA
2018_412,15,Albania,NA,NA,NA
2018_415,25,Tunisia,TRUE,65,1
2018_416,46,Serbia,TRUE,24,1
2018_418,25,Tunisia,TRUE,63,NA
2018_419,22,Georgia,TRUE,52,1
2018_420,1,Georgia,TRUE,2,1
2018_421,69,Afghanistan,TRUE,133,1
2018_423,5,Ghana,TRUE,12,1
2018_424,4,Iraq,TRUE,21,1
2018_427,14,Tunisia,TRUE,30,1
2018_428,10,Georgia,TRUE,38,1
2018_430,14,Tunisia,TRUE,32,NA
2018_431,81,Serbia,TRUE,36,1
2018_433,6,Pakistan,TRUE,25,1
2018_434,45,Pakistan,TRUE,34,1
2018_435,2,Pakistan,TRUE,4,1
2018_436,7,Pakistan,TRUE,18,1
2018_438,63,Albania,TRUE,35,1
2018_439,36,Albania,TRUE,34,1
2018_440,10,Albania,NA,NA,NA
2018_443,93,Kosovo,TRUE,26,1
2018_445,63,Ukraine,TRUE,60,1
2018_446,2,Ukraine,TRUE,6,1
2018_449,24,Albania,TRUE,30,2
2018_450,6,Albania,NA,NA,NA
2018_451,10,Albania,NA,NA,NA
2018_454,19,Nigeria,TRUE,49,1
2018_455,5,Nigeria,TRUE,9,NA
2018_456,3,Nigeria,TRUE,9,1
2018_457,1,Nigeria,TRUE,2,1
2018_458,1,Nigeria,TRUE,2,1
2018_459,1,Nigeria,TRUE,3,1
2018_461,28,Tunisia,TRUE,63,1
2018_462,17,Albania,TRUE,55,1
2018_463,34,Georgia,TRUE,38,3
2018_465,18,Albania,TRUE,34,2
2018_466,10,Albania,NA,NA,NA
2018_467,4,Albania,NA,NA,NA
2018_470,77,Albania,TRUE,46,2
2018_471,2,Albania,TRUE,2,2
2018_472,22,Tunisia,TRUE,60,NA
2018_473,12,Albania,TRUE,18,1
2018_474,8,Pakistan,TRUE,49,1
2018_475,9,Pakistan,TRUE,20,2
2018_477,56,Georgia,TRUE,35,2
2018_478,1,Georgia,NA,NA,NA
2018_481,8,Azerbaijan,TRUE,13,1
2018_482,19,Tunisia,TRUE,41,2
2018_483,29,Tunisia,TRUE,71,1
2018_484,57,Russia,TRUE,50,1
2018_487,38,Senegal,TRUE,106,1
2018_488,15,Egypt,TRUE,37,1
2018_490,15,Gambia,TRUE,47,1
2018_492,22,Albania,TRUE,33,2
2018_493,3,Albania,NA,NA,NA
2018_495,2,Somalia,TRUE,5,1
2018_498,19,Tunisia,TRUE,65,1
2018_499,13,Albania,TRUE,18,1
2018_500,40,Senegal,TRUE,97,1
2018_501,46,Afghanistan,TRUE,100,1
2018_502,21,Nigeria,TRUE,53,1
2018_503,1,Nigeria,TRUE,2,1
2018_504,6,Nigeria,TRUE,15,1
2018_505,1,Nigeria,TRUE,2,1
2018_506,5,Nigeria,TRUE,7,1
2018_507,1,Nigeria,TRUE,4,1
2018_508,27,Tunisia,TRUE,58,1
2018_509,27,Serbia,TRUE,47,1
2018_510,50,Senegal,TRUE,86,1
2018_511,14,Albania,TRUE,19,1
2018_512,36,Montenegro,TRUE,28,3
2018_514,28,Tunisia,TRUE,63,1
2018_515,108,Serbia,TRUE,39,1
2018_517,16,Pakistan,TRUE,48,1
2018_518,95,Albania,TRUE,36,1
2018_519,12,Albania,TRUE,38,2
2018_520,4,Albania,NA,NA,NA
2018_523,45,Senegal,TRUE,110,1
2018_524,36,Georgia,TRUE,77,1
2018_525,12,Albania,TRUE,17,1
2018_526,18,Ghana,TRUE,40,1
2018_529,8,Tunisia,TRUE,20,2
2018_530,6,Kosovo,TRUE,30,1
2018_531,19,Albania,TRUE,36,1
2018_532,5,Albania,NA,NA,NA
2018_535,17,Tunisia,TRUE,70,1
2018_536,35,Armenia,TRUE,38,1
2018_537,1,Turkey,TRUE,4,1
2018_538,9,Albania,TRUE,14,2
2018_539,14,Tunisia,TRUE,30,2
2018_540,126,Albania,TRUE,43,1
2018_542,15,Bangladesh,TRUE,33,1
2018_543,9,Bangladesh,TRUE,22,1
2018_545,28,Nigeria,TRUE,60,1
2018_549,35,Georgia,TRUE,37,1
2018_550,2,Georgia,NA,NA,NA
2018_553,14,Tunisia,TRUE,32,1
2018_554,17,Afghanistan,TRUE,51,1
2018_556,5,Albania,TRUE,28,1
2018_557,65,Georgia,TRUE,40,2
2018_558,5,Georgia,NA,NA,NA
2018_559,2,Georgia,NA,NA,NA
2018_562,22,Albania,TRUE,34,1
2018_563,6,Albania,NA,NA,NA
2018_566,44,Albania,TRUE,41,1
2018_567,17,Tunisia,TRUE,65,1
2018_568,16,Nigeria,TRUE,51,2
2018_569,2,Nigeria,TRUE,3,1
2018_570,40,Tunisia,TRUE,82,1
2018_571,13,Ghana,TRUE,42,1
2018_575,92,Macedonia,TRUE,25,1
2018_578,16,Albania,TRUE,33,2
2018_579,5,Albania,NA,NA,NA
2018_582,98,Albania,TRUE,29,1
2018_585,39,Tunisia,TRUE,79,1
2018_586,15,Pakistan,TRUE,76,1
2018_588,3,Pakistan,TRUE,5,1
2018_589,6,Pakistan,TRUE,12,1
2018_590,1,Pakistan,TRUE,2,1
2018_593,21,Russia,TRUE,41,1
2018_594,1,Russia,TRUE,2,1
2018_596,24,Albania,TRUE,48,1
2018_597,5,Albania,NA,NA,NA
2018_600,30,Colombia,TRUE,88,NA
2018_601,17,Nigeria,TRUE,34,1
2018_602,3,Nigeria,TRUE,9,1
2018_603,5,Nigeria,TRUE,10,1
2018_605,2,Georgia,TRUE,3,1
2018_606,38,Tunisia,TRUE,81,1
2018_607,2,Togo,TRUE,10,1
2018_610,6,Gambia,TRUE,18,1
2018_611,17,Afghanistan,TRUE,66,1
2018_614,25,Albania,TRUE,33,2
2018_615,6,Albania,NA,NA,NA
2018_618,3,Pakistan,TRUE,16,1
2018_619,1,Pakistan,TRUE,3,1
2018_621,33,Tunisia,TRUE,70,1
2018_622,31,Nigeria,TRUE,103,1
2018_623,27,Tunisia,TRUE,73,1
2018_625,2,Afghanistan,TRUE,52,1
2018_626,26,Afghanistan,TRUE,4,1
2018_627,2,Afghanistan,TRUE,4,1
2018_628,2,Afghanistan,NA,NA,NA
2018_630,60,Macedonia,TRUE,37,1
2018_632,25,Albania,TRUE,33,3
2018_633,5,Albania,NA,NA,NA
2018_634,6,Albania,NA,NA,NA
2018_637,110,Albania,TRUE,28,1
2018_638,4,Albania,TRUE,7,1
2018_639,18,Tunisia,TRUE,56,1
2018_641,25,Georgia,TRUE,37,2
2018_643,101,Serbia,TRUE,42,1
2018_645,36,Tunisia,TRUE,76,1
2018_646,19,Ghana,TRUE,33,1
2018_648,29,Albania,TRUE,32,2
2018_649,6,Albania,NA,NA,NA
2018_652,10,Gambia,TRUE,33,1
2018_654,52,Macedonia,TRUE,38,1
2018_656,65,Georgia,TRUE,43,1
2018_659,23,Nigeria,TRUE,57,2
2018_660,1,Nigeria,TRUE,1,1
2018_661,5,Nigeria,TRUE,27,1
2018_662,1,Nigeria,TRUE,3,1
2018_663,1,Nigeria,TRUE,3,1
2018_666,40,Tunisia,TRUE,94,1
2018_667,4,Kosovo,TRUE,23,1
2018_668,28,Albania,TRUE,33,2
2018_669,3,Albania,NA,NA,NA
2018_672,10,Nigeria,TRUE,26,1
2018_674,5,Gambia,TRUE,25,2
2018_675,39,Tunisia,TRUE,73,1
2018_676,43,Russia,TRUE,67,1
2018_678,14,Georgia,TRUE,33,2
2018_679,7,Pakistan,TRUE,27,2
2018_681,19,Pakistan,TRUE,46,1
2018_684,5,Gambia,TRUE,17,1
2018_685,18,Tunisia,TRUE,66,1
2018_686,21,Georgia,TRUE,60,1
2018_687,24,Albania,TRUE,33,2
2018_688,5,Albania,NA,NA,NA
2018_691,15,Gambia,TRUE,59,1
2018_693,18,Albania,TRUE,35,1
2018_694,9,Albania,NA,NA,NA
2018_698,24,Afghanistan,TRUE,51,1
2018_699,2,Afghanistan,TRUE,3,2
2018_701,98,Macedonia,TRUE,35,1
2018_703,21,Egypt,TRUE,47,1
2018_704,25,Tunisia,TRUE,73,1
2018_706,101,Albania,TRUE,36,1
2018_707,20,Russia,TRUE,39,1
2018_708,44,Armenia,TRUE,58,1
2018_710,39,Tunisia,TRUE,91,1
2018_711,42,Afghanistan,TRUE,81,1
2018_713,11,Albania,TRUE,45,2
2018_714,20,Albania,TRUE,35,2
2018_715,6,Albania,NA,NA,NA
2018_717,11,Nigeria,TRUE,35,1
2018_718,3,Nigeria,TRUE,9,1
2018_719,2,Nigeria,TRUE,4,1
2018_720,1,Nigeria,TRUE,4,1
2018_721,1,Nigeria,TRUE,3,1
2018_722,1,Nigeria,TRUE,2,1
2018_724,13,Tunisia,TRUE,37,1
2018_725,19,Pakistan,TRUE,66,1
2018_726,2,Pakistan,TRUE,4,1
2018_729,33,Russia,TRUE,52,1
2018_731,25,Afghanistan,TRUE,64,2
2018_732,10,Egypt,TRUE,31,1
2018_734,16,Albania,TRUE,35,2
2018_735,5,Albania,NA,NA,NA
2018_737,62,Georgia,TRUE,37,2
2018_738,3,Georgia,NA,NA,NA
2018_739,2,Georgia,NA,NA,NA
2018_741,4,Georgia,TRUE,30,1
2018_742,22,Tunisia,TRUE,55,1
2018_743,1,Gambia,TRUE,8,1
2018_744,4,Gambia,NA,NA,NA
2018_745,7,Tunisia,TRUE,29,1
2018_746,4,Nigeria,TRUE,48,1
2018_747,109,Albania,TRUE,41,1
2018_749,13,Albania,TRUE,35,2
2018_750,6,Albania,NA,NA,NA
2018_752,37,Bangladesh,TRUE,64,2
2018_753,2,Bangladesh,TRUE,9,1
2018_754,79,Albania,TRUE,45,1
2018_756,3,Georgia,TRUE,8,1
2018_757,25,Nigeria,TRUE,96,2
2018_760,14,Afghanistan,TRUE,52,1
2018_762,26,Albania,TRUE,28,2
2018_763,7,Albania,NA,NA,NA
2018_766,16,Egypt,TRUE,38,1
2018_767,3,Pakistan,TRUE,14,1
2018_768,2,Pakistan,TRUE,6,1
2018_769,1,Pakistan,TRUE,1,1
2018_770,4,Pakistan,TRUE,12,1
2018_772,19,Kosovo,TRUE,29,NA
2018_773,30,Tunisia,TRUE,78,1
2018_774,26,Albania,TRUE,31,2
2018_775,6,Albania,NA,NA,NA
2018_777,25,Afghanistan,TRUE,63,2
2018_778,18,Afghanistan,TRUE,39,1
2018_779,3,Afghanistan,TRUE,5,2
2018_781,64,Georgia,TRUE,44,1
2018_782,4,Georgia,NA,NA,NA
2018_783,21,Tunisia,TRUE,75,1
2018_784,79,Macedonia,TRUE,34,1
2018_785,2,Somalia,TRUE,6,1
2018_787,46,Colombia,TRUE,108,1
2018_788,12,Nigeria,TRUE,36,2
2018_789,5,Nigeria,TRUE,10,2
2018_790,11,Nigeria,TRUE,27,1
2018_791,1,Nigeria,TRUE,2,1
2018_792,4,Nigeria,TRUE,9,1
2018_793,1,Nigeria,TRUE,2,1
2018_794,1,Nigeria,TRUE,2,NA
2018_795,1,Nigeria,TRUE,3,1
2018_797,91,Albania,TRUE,28,1
2018_799,74,Bosnia and Herzegovina,TRUE,34,1
2018_801,9,Guinea,TRUE,23,1
2018_802,24,Nigeria,TRUE,89,2
2018_803,1,Morocco,TRUE,4,1
2018_804,21,Ghana,TRUE,57,1
2018_805,33,Albania,TRUE,31,2
2018_806,6,Albania,NA,NA,NA
2018_809,15,Gambia,TRUE,55,1
2018_812,20,Tunisia,TRUE,59,1
2018_813,15,Senegal,TRUE,44,1
2018_814,47,Macedonia,TRUE,40,1
2018_816,40,Tunisia,TRUE,83,2
2018_817,15,Senegal,TRUE,43,1
2018_19,3,Belarus,TRUE,10,NA
2018_134,3,Moldova,NA,NA,NA
2018_135,27,Moldova,NA,NA,NA
2018_147,8,Ghana,TRUE,19,NA
2018_148,4,Ghana,TRUE,6,NA
2018_149,1,Ghana,TRUE,4,NA
2018_169,25,Kosovo,TRUE,8,1
2018_177,1,Pakistan,TRUE,3,NA
2018_202,17,Georgia,NA,NA,NA
2018_236,5,Sudan,NA,NA,NA
2018_248,69,Macedonia,NA,NA,NA
2018_249,6,Bosnia and Herzegovina,NA,NA,NA
2018_260,6,Gambia,TRUE,15,NA
2018_268,5,Kosovo,TRUE,6,NA
2018_269,9,Kosovo,TRUE,10,NA
2018_307,7,Armenia,NA,NA,NA
2018_324,1,Gambia,TRUE,3,NA
2018_325,1,Gambia,TRUE,3,NA
2018_327,1,Gambia,NA,NA,NA
2018_346,27,Serbia,NA,NA,NA
2018_363,6,Gambia,NA,NA,NA
2018_380,5,Peru,NA,NA,NA
2018_384,3,Guinea,TRUE,8,NA
2018_438,31,Kosovo,NA,NA,NA
2018_446,1,Azerbaijan,TRUE,3,NA
2018_455,4,Gambia,TRUE,17,NA
2018_462,9,Georgia,NA,NA,NA
2018_504,1,Gambia,TRUE,3,NA
2018_509,52,Macedonia,NA,NA,NA
2018_524,3,Armenia,NA,NA,NA
2018_530,11,Serbia,NA,NA,NA
2018_556,5,Ukraine,NA,NA,NA
2018_566,52,Kosovo,NA,NA,NA
2018_600,11,Dominican Republic,NA,NA,NA
2018_638,1,Kosovo,TRUE,2,NA
2018_667,2,Macedonia,NA,NA,NA
2018_674,2,Guinea-Bissau,NA,NA,NA
2018_686,10,Armenia,NA,NA,NA
2018_713,16,Georgia,NA,NA,NA
2018_741,7,Armenia,NA,NA,NA
2018_746,11,Ghana,NA,NA,NA
2018_787,14,Dominican Republic,NA,NA,NA
2018_794,2,Gambia,TRUE,6,NA
2018_667,9,Serbia,NA,NA,NA
2018_5,NA,Serbia,NA,NA,NA
2018_7,NA,Albania,NA,NA,NA
2018_10,NA,Albania,NA,NA,NA
2018_16,NA,Pakistan,NA,NA,NA
2018_17,NA,Pakistan,NA,NA,NA
2018_20,NA,Moldova,NA,NA,NA
2018_23,NA,Albania,NA,NA,NA
2018_24,NA,Albania,NA,NA,NA
2018_28,NA,Albania,NA,NA,NA
2018_34,NA,Nigeria,NA,NA,NA
2018_40,NA,Georgia,NA,NA,NA
2018_41,NA,Georgia,NA,NA,NA
2018_44,NA,Russia,NA,NA,NA
2018_46,NA,Afghanistan,NA,NA,NA
2018_47,NA,Afghanistan,NA,NA,NA
2018_50,NA,Serbia,NA,NA,NA
2018_55,NA,Albania,NA,NA,NA
2018_57,NA,Armenia,NA,NA,NA
2018_60,NA,Georgia,NA,NA,NA
2018_62,NA,Pakistan,NA,NA,NA
2018_65,NA,Pakistan,NA,NA,NA
2018_67,NA,Tunisia,NA,NA,NA
2018_70,NA,Albania,NA,NA,NA
2018_71,NA,Albania,NA,NA,NA
2018_79,NA,Nigeria,NA,NA,NA
2018_86,NA,Pakistan,NA,NA,NA
2018_87,NA,Pakistan,NA,NA,NA
2018_90,NA,Albania,NA,NA,NA
2018_91,NA,Albania,NA,NA,NA
2018_97,NA,Albania,NA,NA,NA
2018_98,NA,Albania,NA,NA,NA
2018_100,NA,Serbia,NA,NA,NA
2018_103,NA,Ukraine,NA,NA,NA
2018_105,NA,Albania,NA,NA,NA
2018_109,NA,Georgia,NA,NA,NA
2018_113,NA,Georgia,NA,NA,NA
2018_114,NA,Georgia,NA,NA,NA
2018_116,NA,Afghanistan,NA,NA,NA
2018_119,NA,Egypt,NA,NA,NA
2018_122,NA,Serbia,NA,NA,NA
2018_131,NA,Pakistan,NA,NA,NA
2018_137,NA,Senegal,NA,NA,NA
2018_142,NA,Albania,NA,NA,NA
2018_143,NA,Albania,NA,NA,NA
2018_145,NA,Tunisia,NA,NA,NA
2018_152,NA,Nigeria,NA,NA,NA
2018_155,NA,Albania,NA,NA,NA
2018_161,NA,Albania,NA,NA,NA
2018_162,NA,Albania,NA,NA,NA
2018_166,NA,Colombia,NA,NA,NA
2018_172,NA,Serbia,NA,NA,NA
2018_175,NA,Albania,NA,NA,NA
2018_180,NA,Georgia,NA,NA,NA
2018_182,NA,Montenegro,NA,NA,NA
2018_183,NA,Montenegro,NA,NA,NA
2018_187,NA,Gambia,NA,NA,NA
2018_189,NA,Albania,NA,NA,NA
2018_190,NA,Albania,NA,NA,NA
