DATE,ROID,ID,MSNAME,MSISO,N_RETURNEES,N_ESC_OBS_MED,N_ESC,N_ESC_LEAD,N_MEDS,N_OBS,N_MONITORS,FX_CONTRIB,OPTYPE,NOTES_COMMENTS,N_ESC_POOL,N_MONITORS_POOL
2007-04-30,NA,2007_4,Spain,ESP,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-05-18,NA,2007_5,Austria,AUT,20,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-05-18,NA,2007_5,France,FRA,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-05-30,NA,2007_6,France,FRA,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-05-30,NA,2007_6,Italy,ITA,5,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-05-30,NA,2007_6,Spain,ESP,69,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-07-19,NA,2007_7,Belgium,BEL,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-07-19,NA,2007_7,France,FRA,10,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-07-19,NA,2007_7,Italy,ITA,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-07-19,NA,2007_7,Netherlands,NLD,4,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-07-19,NA,2007_7,Norway,NOR,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-07-19,NA,2007_7,United Kingdom,GBR,17,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-09-10,NA,2007_8,Germany,DEU,10,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-09-10,NA,2007_8,Switzerland,CHE,3,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-09-19,NA,2007_9,Belgium,BEL,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-09-19,NA,2007_9,France,FRA,6,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-09-19,NA,2007_9,Germany,DEU,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-09-19,NA,2007_9,Netherlands,NLD,8,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-02-13,NA,2008_1,France,FRA,16,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-02-13,NA,2008_1,Netherlands,NLD,4,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-02-13,NA,2008_1,Slovenia,SVN,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-02-13,NA,2008_1,Spain,ESP,3,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-02-13,NA,2008_1,United Kingdom,GBR,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-08-21,NA,2008_10,Austria,AUT,5,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-08-21,NA,2008_10,France,FRA,3,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-08-21,NA,2008_10,Ireland,IRL,5,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-08-21,NA,2008_10,United Kingdom,GBR,18,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-10-22,NA,2008_11,France,FRA,9,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-10-22,NA,2008_11,Germany,DEU,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-10-22,NA,2008_11,Greece,GRC,5,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-10-22,NA,2008_11,Italy,ITA,4,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-10-22,NA,2008_11,Spain,ESP,37,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-10-22,NA,2008_11,Switzerland,CHE,7,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-10-22,NA,2008_11,United Kingdom,GBR,16,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-11-05,NA,2008_12,Norway,NOR,3,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-11-05,NA,2008_12,Poland,POL,6,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-11-05,NA,2008_12,Sweden,SWE,35,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-11-14,NA,2008_13,Austria,AUT,3,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-11-14,NA,2008_13,France,FRA,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-11-14,NA,2008_13,Germany,DEU,17,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-11-14,NA,2008_13,Italy,ITA,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-11-14,NA,2008_13,Luxembourg,LUX,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-11-14,NA,2008_13,Netherlands,NLD,4,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-11-14,NA,2008_13,Poland,POL,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-11-14,NA,2008_13,Slovakia,SVK,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-11-14,NA,2008_13,Spain,ESP,14,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-11-14,NA,2008_13,Switzerland,CHE,7,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-11-14,NA,2008_13,United Kingdom,GBR,17,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-12-03,NA,2008_14,Germany,DEU,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-12-03,NA,2008_14,Italy,ITA,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-12-03,NA,2008_14,Spain,ESP,88,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2018-12-17,NA,2008_15,Germany,DEU,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2018-12-17,NA,2008_15,Netherlands,NLD,14,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2018-12-17,NA,2008_15,Slovakia,SVK,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2018-12-17,NA,2008_15,Spain,ESP,10,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2018-12-17,NA,2008_15,Sweden,SWE,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2018-12-17,NA,2008_15,Switzerland,CHE,5,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-02-20,NA,2008_2,Italy,ITA,3,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-02-20,NA,2008_2,Netherlands,NLD,3,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-02-20,NA,2008_2,Spain,ESP,97,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-03-11,NA,2008_3,France,FRA,4,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-03-11,NA,2008_3,Ireland,IRL,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-03-11,NA,2008_3,Italy,ITA,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-04-10,NA,2008_4,Austria,AUT,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-04-10,NA,2008_4,France,FRA,3,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-04-10,NA,2008_4,Ireland,IRL,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-04-10,NA,2008_4,Italy,ITA,40,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-04-10,NA,2008_4,Netherlands,NLD,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-04-10,NA,2008_4,Spain,ESP,3,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-04-29,NA,2008_5,Austria,AUT,13,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-04-29,NA,2008_5,France,FRA,4,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-05-14,NA,2008_6,France,FRA,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-05-14,NA,2008_6,Italy,ITA,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-05-14,NA,2008_6,Latvia,LVA,5,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-05-14,NA,2008_6,Spain,ESP,62,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-06-18,NA,2008_7,France,FRA,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-06-18,NA,2008_7,Italy,ITA,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-06-18,NA,2008_7,Spain,ESP,96,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-06-24,NA,2008_8,Belgium,BEL,5,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-06-24,NA,2008_8,Ireland,IRL,8,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-06-24,NA,2008_8,Netherlands,NLD,25,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-07-22,NA,2008_9,Austria,AUT,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-07-22,NA,2008_9,France,FRA,4,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-07-22,NA,2008_9,Germany,DEU,3,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-07-22,NA,2008_9,Ireland,IRL,7,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-07-22,NA,2008_9,Luxembourg,LUX,4,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-07-22,NA,2008_9,Poland,POL,4,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-07-22,NA,2008_9,Spain,ESP,4,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-07-22,NA,2008_9,Switzerland,CHE,7,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2008-07-22,NA,2008_9,United Kingdom,GBR,7,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-02-25,NA,2009_1,Germany,DEU,2,6,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-02-25,NA,2009_1,Ireland,IRL,34,56,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-02-25,NA,2009_1,Switzerland,CHE,5,11,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-02-25,NA,2009_1,United Kingdom,GBR,45,86,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-04-29,NA,2009_10,Ireland,IRL,25,50,NA,NA,NA,NA,NA,272359.2,JRO,NA,NA,NA
2009-04-29,NA,2009_10,Luxembourg,LUX,7,18,NA,NA,NA,NA,NA,17064.6,JRO,NA,NA,NA
2009-04-29,NA,2009_10,Malta,MLT,1,3,NA,NA,NA,NA,NA,2766.86,JRO,NA,NA,NA
2009-04-29,NA,2009_10,Slovakia,SVK,1,3,NA,NA,NA,NA,NA,4740.27,JRO,NA,NA,NA
2009-04-29,NA,2009_10,Spain,ESP,7,17,NA,NA,NA,NA,NA,NA,JRO,NO GD for ES because they were picked up by IE charter,NA,NA
2009-04-29,NA,2009_10,United Kingdom,GBR,21,55,NA,NA,NA,NA,NA,NA,JRO,NO GD for UK because they were picked up by IE charter,NA,NA
2009-05-15,NA,2009_11,Austria,AUT,24,32,NA,NA,NA,NA,NA,56676.6,JRO,NA,NA,NA
2009-05-15,NA,2009_11,France,FRA,6,12,NA,NA,NA,NA,NA,14329.58,JRO,NA,NA,NA
2009-05-15,NA,2009_11,Netherlands,NLD,2,5,NA,NA,NA,NA,NA,4410.67,JRO,NA,NA,NA
2009-05-21,NA,2009_12,France,FRA,1,3,NA,NA,NA,NA,NA,5145.69,JRO,NA,NA,NA
2009-05-21,NA,2009_12,Greece,GRC,1,2,NA,NA,NA,NA,NA,1896.6,JRO,NA,NA,NA
2009-05-21,NA,2009_12,Italy,ITA,34,55,NA,NA,NA,NA,NA,155310,JRO,NA,NA,NA
2009-05-21,NA,2009_12,Spain,ESP,4,9,NA,NA,NA,NA,NA,8739.09,JRO,NA,NA,NA
2009-05-28,NA,2009_13,France,FRA,1,3,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-05-28,NA,2009_13,Ireland,IRL,10,20,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-05-28,NA,2009_13,Poland,POL,1,3,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-05-28,NA,2009_13,Switzerland,CHE,17,39,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-06-02,NA,2009_14,Austria,AUT,9,33,NA,NA,NA,NA,NA,195968.4,JRO,NA,NA,NA
2009-06-02,NA,2009_14,Cyprus,CYP,1,4,NA,NA,NA,NA,NA,4816,JRO,NA,NA,NA
2009-06-02,NA,2009_14,Finland,FIN,1,3,NA,NA,NA,NA,NA,3281.78,JRO,NA,NA,NA
2009-06-02,NA,2009_14,Frontex,FX,NA,2,NA,NA,NA,NA,NA,5477.43,JRO,NA,NA,NA
2009-06-02,NA,2009_14,Germany,DEU,11,30,NA,NA,NA,NA,NA,41659.96,JRO,NA,NA,NA
2009-06-02,NA,2009_14,Netherlands,NLD,4,10,NA,NA,NA,NA,NA,16050.8,JRO,NA,NA,NA
2009-06-02,NA,2009_14,Norway,NOR,4,10,NA,NA,NA,NA,NA,6733.08,JRO,NA,NA,NA
2009-06-02,NA,2009_14,Poland,POL,1,4,NA,NA,NA,NA,NA,2436.13,JRO,NA,NA,NA
2009-06-02,NA,2009_14,Romania,ROU,1,5,NA,NA,NA,NA,NA,2835,JRO,NA,NA,NA
2009-06-02,NA,2009_14,Sweden,SWE,3,12,NA,NA,NA,NA,NA,33726.05,JRO,NA,NA,NA
2009-06-08,NA,2009_15,Frontex,FX,NA,NA,NA,NA,NA,NA,NA,1010.46,JRO,NA,NA,NA
2009-06-08,NA,2009_15,Germany,DEU,83,38,NA,NA,NA,NA,NA,372935.01,JRO,NA,NA,NA
2009-06-08,NA,2009_15,Poland,POL,29,16,NA,NA,NA,NA,NA,5372.23,JRO,NA,NA,NA
2009-06-24,NA,2009_16,Austria,AUT,14,34,NA,NA,NA,NA,NA,73225,JRO,NA,NA,NA
2009-06-24,NA,2009_16,France,FRA,4,8,NA,NA,NA,NA,NA,24079.88,JRO,NA,NA,NA
2009-06-24,NA,2009_16,Ireland,IRL,7,17,NA,NA,NA,NA,NA,44606,JRO,NA,NA,NA
2009-06-24,NA,2009_16,Poland,POL,2,4,NA,NA,NA,NA,NA,3918.05,JRO,NA,NA,NA
2009-06-24,NA,2009_16,Spain,ESP,8,20,NA,NA,NA,NA,NA,50018.11,JRO,NA,NA,NA
2009-06-24,NA,2009_16,Sweden,SWE,7,13,NA,NA,NA,NA,NA,28160.64,JRO,NA,NA,NA
2009-06-30,NA,2009_17,Czech Republic,CZE,1,2,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-06-30,NA,2009_17,Ireland,IRL,32,27,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-06-30,NA,2009_17,Norway,NOR,3,7,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-06-30,NA,2009_17,Poland,POL,3,6,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-06-30,NA,2009_17,United Kingdom,GBR,57,116,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-07-15,NA,2009_18,Austria,AUT,6,12,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-07-15,NA,2009_18,France,FRA,2,5,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-07-15,NA,2009_18,Germany,DEU,6,19,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-07-15,NA,2009_18,Italy,ITA,1,3,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-07-15,NA,2009_18,Netherlands,NLD,21,60,NA,NA,NA,NA,NA,NA,JRO,Second flight Co-Financed by EC (70%) Preparatory Action 2007,NA,NA
2009-07-15,NA,2009_18,Poland,POL,2,5,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-07-15,NA,2009_18,Spain,ESP,6,15,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-07-15,NA,2009_18,United Kingdom,GBR,6,14,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-08-12,NA,2009_19,Austria,AUT,4,14,NA,NA,NA,NA,NA,63225,JRO,NA,NA,NA
2009-08-12,NA,2009_19,Frontex,FX,NA,1,NA,NA,NA,NA,NA,1012.16,JRO,NA,NA,NA
2009-08-12,NA,2009_19,Germany,DEU,2,4,NA,NA,NA,NA,NA,4364.43,JRO,NA,NA,NA
2009-08-12,NA,2009_19,Poland,POL,6,8,NA,NA,NA,NA,NA,8487.24,JRO,NA,NA,NA
2009-08-12,NA,2009_19,Spain,ESP,2,5,NA,NA,NA,NA,NA,7115.21,JRO,NA,NA,NA
2009-02-25,NA,2009_2,France,FRA,5,11,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-02-25,NA,2009_2,Italy,ITA,3,11,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-02-25,NA,2009_2,Spain,ESP,88,138,NA,NA,NA,NA,NA,NA,JRO,"""First flight Co-Financed by EC (70%) Preparatory Action 2007""",NA,NA
2009-09-01,NA,2009_20,Austria,AUT,6,30,NA,NA,NA,NA,NA,258112.9,JRO,NA,NA,NA
2009-09-01,NA,2009_20,Czech Republic,CZE,2,2,NA,NA,NA,NA,NA,1343.77,JRO,NA,NA,NA
2009-09-01,NA,2009_20,Finland,FIN,1,3,NA,NA,NA,NA,NA,3321.2,JRO,NA,NA,NA
2009-09-01,NA,2009_20,France,FRA,1,3,NA,NA,NA,NA,NA,17780.68,JRO,NA,NA,NA
2009-09-01,NA,2009_20,Frontex,FX,NA,2,NA,NA,NA,NA,NA,7318.69,JRO,NA,NA,NA
2009-09-01,NA,2009_20,Germany,DEU,10,30,NA,NA,NA,NA,NA,46114.81,JRO,NA,NA,NA
2009-09-01,NA,2009_20,Ireland,IRL,13,18,NA,NA,NA,NA,NA,50335,JRO,NA,NA,NA
2009-09-01,NA,2009_20,Poland,POL,3,7,NA,NA,NA,NA,NA,6925.72,JRO,NA,NA,NA
2009-09-01,NA,2009_20,Switzerland,CHE,14,34,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-09-08,NA,2009_21,Austria,AUT,30,30,NA,NA,NA,NA,NA,46574,JRO,NA,NA,NA
2009-09-08,NA,2009_21,France,FRA,6,12,NA,NA,NA,NA,NA,18415.04,JRO,NA,NA,NA
2009-09-08,NA,2009_21,Frontex,FX,NA,1,NA,NA,NA,NA,NA,920.42,JRO,NA,NA,NA
2009-09-08,NA,2009_21,Luxembourg,LUX,5,11,NA,NA,NA,NA,NA,25760.74,JRO,NA,NA,NA
2009-09-08,NA,2009_21,Sweden,SWE,9,14,NA,NA,NA,NA,NA,26450.71,JRO,NA,NA,NA
2009-09-16,NA,2009_22,France,FRA,5,11,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-09-16,NA,2009_22,Italy,ITA,4,9,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-09-16,NA,2009_22,Spain,ESP,76,110,NA,NA,NA,NA,NA,NA,JRO,Third flight Co-Financed by EC (70%) Preparatory Action 2007,NA,NA
2009-09-16,NA,2009_22,Sweden,SWE,NA,1,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-09-25,NA,2009_23,Austria,AUT,5,12,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-09-25,NA,2009_23,Cyprus,CYP,1,3,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-09-25,NA,2009_23,France,FRA,1,3,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-09-25,NA,2009_23,Germany,DEU,1,3,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-09-25,NA,2009_23,Greece,GRC,2,4,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-09-25,NA,2009_23,Italy,ITA,36,95,NA,NA,NA,NA,NA,NA,JRO,Return Fund financing,NA,NA
2009-09-25,NA,2009_23,Netherlands,NLD,4,9,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-09-30,NA,2009_24,France,FRA,2,5,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-09-30,NA,2009_24,Poland,POL,14,16,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-09-30,NA,2009_24,Switzerland,CHE,14,37,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-10-06,NA,2009_25,Austria,AUT,13,36,NA,NA,NA,NA,NA,131932.6,JRO,only main charter was co-financed,NA,NA
2009-10-06,NA,2009_25,Frontex,FX,NA,1,NA,NA,NA,NA,NA,900,JRO,NA,NA,NA
2009-10-06,NA,2009_25,Germany,DEU,7,17,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-10-06,NA,2009_25,Norway,NOR,7,16,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-10-06,NA,2009_25,Sweden,SWE,3,6,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-10-21,NA,2009_26,Hungary,HUN,2,5,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-10-21,NA,2009_26,Ireland,IRL,48,55,NA,NA,NA,NA,NA,NA,JRO,Return Fund financing,NA,NA
2009-10-21,NA,2009_26,Norway,NOR,7,15,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-10-21,NA,2009_26,Slovenia,SVN,1,2,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2009-11-03,NA,2009_27,Austria,AUT,3,7,NA,NA,NA,NA,NA,22542.56,JRO,NA,NA,NA
2009-11-03,NA,2009_27,Frontex,FX,NA,2,NA,NA,NA,NA,NA,2425.66,JRO,NA,NA,NA
2009-11-03,NA,2009_27,Romania,ROU,NA,2,NA,NA,NA,NA,NA,1100.06,JRO,NA,NA,NA
