DEST,MSNAME,N_RETURNEES
Cameroon,Luxembourg,1
Cameroon,Netherlands,31
Cameroon,Poland,1
Cameroon,Romania,1
Cameroon,Spain,12
Cameroon,Sweden,4
Cameroon,Switzerland,27
Cameroon,United Kingdom,8
Colombia,Austria,3
Colombia,Belgium,2
Colombia,Bulgaria,2
Colombia,Finland,5
Colombia,France,12
Colombia,Germany,8
Colombia,Hungary,1
Colombia,Iceland,8
Colombia,Italy,7
Colombia,Netherlands,7
Colombia,Poland,4
Colombia,Portugal,1
Colombia,Romania,1
Colombia,Spain,3071
Colombia,Sweden,11
Colombia,Switzerland,9
Congo DR,Belgium,210
Congo DR,Croatia,1
Congo DR,Cyprus,46
Congo DR,Czech Republic,1
Congo DR,Estonia,1
Congo DR,Finland,8
Congo DR,France,8
Congo DR,Germany,25
Congo DR,Hungary,2
Congo DR,Ireland,17
Congo DR,Lithuania,5
Congo DR,Luxembourg,2
Congo DR,Norway,4
Congo DR,Poland,2
Congo DR,Romania,3
Congo DR,Sweden,12
Congo DR,Switzerland,35
Congo DR,United Kingdom,3
Côte D'ivoire,Bulgaria,17
Côte D'ivoire,France,8
Côte D'ivoire,Germany,12
Côte D'ivoire,Italy,8
Côte D'ivoire,Norway,1
Côte D'ivoire,Switzerland,11
Dominican Republic,Austria,1
Dominican Republic,Bulgaria,3
Dominican Republic,France,2
Dominican Republic,Germany,1
Dominican Republic,Greece,6
Dominican Republic,Luxembourg,1
Dominican Republic,Spain,349
Dominican Republic,Switzerland,1
Ecuador,Bulgaria,3
Ecuador,France,15
Ecuador,Germany,1
Ecuador,Italy,30
Ecuador,Portugal,1
Ecuador,Spain,735
Egypt,Austria,3
Egypt,France,1
Egypt,Germany,137
Egypt,Greece,1
Egypt,Hungary,3
Egypt,Italy,1482
Egypt,Norway,2
Egypt,Poland,1
Egypt,Switzerland,7
Ethiopia,Finland,4
Ethiopia,Germany,30
Ethiopia,Norway,14
Ethiopia,Sweden,25
Ethiopia,Switzerland,4
Gambia,Austria,44
Gambia,Belgium,1
Gambia,Finland,11
Gambia,Germany,620
Gambia,Greece,1
Gambia,Hungary,1
Gambia,Italy,83
Gambia,Malta,3
Gambia,Norway,3
Gambia,Slovenia,1
Gambia,Sweden,43
Gambia,Switzerland,8
Georgia,Austria,545
Georgia,Belgium,37
Georgia,Bulgaria,9
Georgia,Cyprus,93
Georgia,Czech Republic,8
Georgia,Denmark,21
Georgia,Finland,21
Georgia,France,1001
Georgia,Frontex,0
Georgia,Germany,7452
Georgia,Greece,499
Georgia,Hungary,22
Georgia,Iceland,85
Georgia,Ireland,57
Georgia,Italy,249
Georgia,Latvia,1
Georgia,Lithuania,27
Georgia,Luxembourg,25
Georgia,Netherlands,2
Georgia,Norway,15
Georgia,Poland,311
Georgia,Portugal,3
Georgia,Romania,1
Georgia,Slovakia,1
Georgia,Spain,879
Georgia,Sweden,223
Georgia,Switzerland,74
Georgia,United Kingdom,2
Ghana,Austria,2
Ghana,Belgium,10
Ghana,Cyprus,1
Ghana,Finland,4
Ghana,France,4
Ghana,Germany,714
Ghana,Ireland,1
Ghana,Italy,3
Ghana,Malta,28
Ghana,Poland,2
Ghana,Spain,18
Ghana,Sweden,1
Ghana,Switzerland,7
Guinea,Austria,1
Guinea,Belgium,57
Guinea,France,16
Guinea,Germany,119
Guinea,Netherlands,2
Guinea,Romania,1
Guinea,Spain,37
Guinea,Sweden,1
Guinea,Switzerland,9
Guinea-Bissau,Switzerland,2
India,Austria,54
India,Germany,19
Iraq,Austria,70
Iraq,Belgium,8
Iraq,Bulgaria,1
Iraq,Czech Republic,2
Iraq,Denmark,11
Iraq,Finland,402
Iraq,France,14
Iraq,Germany,662
Iraq,Iceland,3
Iraq,Lithuania,6
Iraq,Netherlands,29
Iraq,Norway,104
Iraq,Poland,8
Iraq,Sweden,266
Iraq,Switzerland,23
Iraq,United Kingdom,28
Kenya,Germany,15
Kosovo,Austria,1220
Kosovo,Belgium,33
Kosovo,Bulgaria,1
Kosovo,Croatia,4
Kosovo,Denmark,4
Kosovo,Finland,154
Kosovo,France,155
Kosovo,Germany,7026
Kosovo,Hungary,802
Kosovo,Iceland,12
Kosovo,Luxembourg,39
Kosovo,Netherlands,4
Kosovo,Norway,79
Kosovo,Poland,2
Kosovo,Portugal,1
Kosovo,Romania,4
Kosovo,Slovakia,6
Kosovo,Slovenia,4
Kosovo,Sweden,316
Kosovo,United Kingdom,7
Kyrgyzstan,Poland,168
Kyrgyzstan,Sweden,13
Lebanon,Denmark,7
Lebanon,Germany,11
Lebanon,Norway,64
Mali,Germany,2
Mauritania,Spain,349
Moldova,Belgium,1
Moldova,Czech Republic,1
Moldova,France,7
Moldova,Germany,4595
Moldova,Sweden,5
Moldova,Switzerland,3
Mongolia,Austria,12
Mongolia,Czech Republic,1
Mongolia,Norway,3
Mongolia,Poland,6
Mongolia,Sweden,308
Mongolia,Switzerland,1
Montenegro,Germany,424
Montenegro,Luxembourg,14
Nigeria,Austria,1136
Nigeria,Belgium,93
Nigeria,Bulgaria,72
Nigeria,Cyprus,33
Nigeria,Czech Republic,16
Nigeria,Denmark,49
Nigeria,Estonia,1
Nigeria,Finland,101
Nigeria,France,119
Nigeria,Frontex,0
Nigeria,Germany,1952
Nigeria,Greece,184
Nigeria,Hungary,99
Nigeria,Iceland,9
Nigeria,Ireland,523
Nigeria,Italy,2382
Nigeria,Latvia,2
Nigeria,Lithuania,19
Nigeria,Luxembourg,64
Nigeria,Malta,89
Nigeria,Netherlands,258
Nigeria,Norway,490
Nigeria,Poland,53
Nigeria,Portugal,24
Nigeria,Romania,13
Nigeria,Slovakia,6
Nigeria,Slovenia,8
Nigeria,Spain,543
Nigeria,Sweden,328
Nigeria,Switzerland,236
Nigeria,United Kingdom,456
North Macedonia,Austria,69
North Macedonia,Belgium,9
North Macedonia,Finland,3
North Macedonia,France,1
North Macedonia,Germany,5870
North Macedonia,Iceland,263
North Macedonia,Italy,1
North Macedonia,Luxembourg,11
North Macedonia,Spain,2
North Macedonia,Sweden,25
Pakistan,Austria,241
Pakistan,Belgium,31
Pakistan,Bulgaria,79
Pakistan,Cyprus,213
Pakistan,Czech Republic,6
Pakistan,Finland,14
Pakistan,France,54
Pakistan,Germany,1922
Pakistan,Greece,1200
Pakistan,Hungary,79
Pakistan,Ireland,55
Pakistan,Italy,54
Pakistan,Lithuania,5
Pakistan,Malta,2
Pakistan,Netherlands,8
Pakistan,Norway,22
Pakistan,Poland,34
Pakistan,Portugal,4
Pakistan,Romania,20
Pakistan,Slovakia,10
Pakistan,Slovenia,8
Pakistan,Spain,230
Pakistan,Sweden,57
Pakistan,Switzerland,32
Pakistan,United Kingdom,43
Peru,Hungary,1
Peru,Italy,4
Peru,Portugal,1
Peru,Spain,224
Peru,Sweden,4
Russia,Austria,218
Russia,Belgium,5
Russia,Bulgaria,2
Russia,Germany,871
Russia,Hungary,1
Russia,Norway,1
Russia,Poland,44
Russia,Sweden,6
Russia,Switzerland,19
Senegal,Germany,50
Senegal,Spain,295
Serbia,Austria,65
Serbia,Belgium,42
Serbia,Denmark,1
Serbia,Finland,16
Serbia,France,23
Serbia,Germany,9038
Serbia,Iceland,4
Serbia,Ireland,5
Serbia,Italy,3
Serbia,Luxembourg,76
Serbia,Netherlands,9
Serbia,Norway,7
Serbia,Spain,11
Serbia,Sweden,365
Sierra Leone,Germany,3
Somalia,Denmark,2
Somalia,Germany,10
Sri Lanka,Austria,1
Sri Lanka,Bulgaria,23
Sri Lanka,Germany,42
Sri Lanka,Lithuania,2
Sri Lanka,Romania,5
Sri Lanka,Sweden,5
Sri Lanka,Switzerland,48
Sudan,Germany,1
Sudan,Hungary,1
Sudan,Italy,40
Sudan,Norway,2
Sudan,Switzerland,16
Syria,Cyprus,63
Syria,Greece,4
Tajikistan,Poland,535
Togo,France,2
Togo,Germany,20
Togo,Luxembourg,1
Togo,Switzerland,4
Tunisia,Germany,1628
Tunisia,Italy,14518
Turkey,Austria,54
Turkey,Finland,5
Turkey,Germany,21
Ukraine,Austria,20
Ukraine,France,15
Ukraine,Germany,476
Ukraine,Italy,18
Ukraine,Netherlands,1
Ukraine,Norway,2
Ukraine,Poland,1
Ukraine,Portugal,5
Ukraine,Spain,170
Ukraine,Sweden,3
Ukraine,Switzerland,12
Uzbekistan,Austria,21
Uzbekistan,Finland,1
Uzbekistan,Lithuania,2
Uzbekistan,Poland,18
Uzbekistan,Sweden,230
Uzbekistan,Switzerland,1
"Venezuela, Bolivarian Republic Of",Iceland,180
Viet Nam,Czech Republic,13
Viet Nam,Germany,98
Viet Nam,Hungary,2
Viet Nam,Lithuania,1
Viet Nam,Netherlands,2
Viet Nam,Norway,4
Viet Nam,Poland,56
Viet Nam,Romania,25
Viet Nam,Sweden,5
